"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 16 13:52:19 COT 2024","Tue Apr 16 13:52:22 COT 2024","2853","chromium","example.spec.js","","","","has title",""
"passed","Tue Apr 16 13:52:19 COT 2024","Tue Apr 16 13:52:23 COT 2024","3254","chromium","example.spec.js","","","","get started link",""
